Charm++> Running on MPI version: 3.1
Charm++> level of thread support used: MPI_THREAD_SINGLE (desired: MPI_THREAD_SINGLE)
Charm++> Running in non-SMP mode: 576 processes (PEs)
Converse/Charm++ Commit ID: v70000
Charm++> work stealing seed load balancer.
Isomalloc> Synchronized global address space.
CharmLB> Load balancer assumes all CPUs are same.
Charm++> Running on 16 hosts (2 sockets x 18 cores x 1 PUs = 36-way SMP)
Charm++> cpu topology info is gathered in 0.156 seconds.
UTS - Unbalanced Tree Search 2.1 (Charm++)
Tree type:  1 (Geometric)
Tree shape parameters:
  root branching factor b_0 = 4.0, root seed = 19
  GEO parameters: gen_mx = 15, shape function = 3 (Fixed branching factor)
Random number generator: SHA-1 (state size = 20B)
Compute granularity: 1
Execution strategy:  
[0] 1533699202 ns 2.75846 Gnodes/s ( nodes: 4230646601 )
[1] 1505338321 ns 2.81043 Gnodes/s ( nodes: 4230646601 )
[2] 1516197099 ns 2.7903 Gnodes/s ( nodes: 4230646601 )
[3] 1523399495 ns 2.77711 Gnodes/s ( nodes: 4230646601 )
[4] 1506173361 ns 2.80887 Gnodes/s ( nodes: 4230646601 )
[5] 1509209657 ns 2.80322 Gnodes/s ( nodes: 4230646601 )
[6] 1521061844 ns 2.78138 Gnodes/s ( nodes: 4230646601 )
[7] 1504926150 ns 2.8112 Gnodes/s ( nodes: 4230646601 )
[8] 1502173852 ns 2.81635 Gnodes/s ( nodes: 4230646601 )
[9] 1504614171 ns 2.81178 Gnodes/s ( nodes: 4230646601 )
[10] 1517648029 ns 2.78763 Gnodes/s ( nodes: 4230646601 )
[11] 1511061857 ns 2.79978 Gnodes/s ( nodes: 4230646601 )
[12] 1521369879 ns 2.78081 Gnodes/s ( nodes: 4230646601 )
[13] 1510015283 ns 2.80172 Gnodes/s ( nodes: 4230646601 )
[14] 1515436481 ns 2.7917 Gnodes/s ( nodes: 4230646601 )
[15] 1507426616 ns 2.80654 Gnodes/s ( nodes: 4230646601 )
[16] 1518131094 ns 2.78675 Gnodes/s ( nodes: 4230646601 )
[17] 1521504850 ns 2.78057 Gnodes/s ( nodes: 4230646601 )
[18] 1516896118 ns 2.78902 Gnodes/s ( nodes: 4230646601 )
[19] 1544332887 ns 2.73947 Gnodes/s ( nodes: 4230646601 )
[20] 1524214075 ns 2.77562 Gnodes/s ( nodes: 4230646601 )
[21] 1518262780 ns 2.7865 Gnodes/s ( nodes: 4230646601 )
[22] 1520690206 ns 2.78206 Gnodes/s ( nodes: 4230646601 )
[23] 1519611993 ns 2.78403 Gnodes/s ( nodes: 4230646601 )
[24] 1518924707 ns 2.78529 Gnodes/s ( nodes: 4230646601 )
[25] 1526639030 ns 2.77122 Gnodes/s ( nodes: 4230646601 )
[26] 1525595948 ns 2.77311 Gnodes/s ( nodes: 4230646601 )
[27] 1529828253 ns 2.76544 Gnodes/s ( nodes: 4230646601 )
[28] 1523037136 ns 2.77777 Gnodes/s ( nodes: 4230646601 )
[29] 1520808105 ns 2.78184 Gnodes/s ( nodes: 4230646601 )
[30] 1593551189 ns 2.65485 Gnodes/s ( nodes: 4230646601 )
[31] 1579811383 ns 2.67794 Gnodes/s ( nodes: 4230646601 )
[32] 1550816762 ns 2.72801 Gnodes/s ( nodes: 4230646601 )
[33] 1528194266 ns 2.7684 Gnodes/s ( nodes: 4230646601 )
[34] 1549560478 ns 2.73022 Gnodes/s ( nodes: 4230646601 )
[35] 1522218211 ns 2.77926 Gnodes/s ( nodes: 4230646601 )
[36] 1524210013 ns 2.77563 Gnodes/s ( nodes: 4230646601 )
[37] 1521149432 ns 2.78122 Gnodes/s ( nodes: 4230646601 )
[38] 1517879662 ns 2.78721 Gnodes/s ( nodes: 4230646601 )
[39] 1534518069 ns 2.75699 Gnodes/s ( nodes: 4230646601 )
[40] 1528906986 ns 2.76711 Gnodes/s ( nodes: 4230646601 )
[41] 1517928580 ns 2.78712 Gnodes/s ( nodes: 4230646601 )
[42] 1526866075 ns 2.7708 Gnodes/s ( nodes: 4230646601 )
[43] 1527775143 ns 2.76916 Gnodes/s ( nodes: 4230646601 )
[44] 1518326117 ns 2.78639 Gnodes/s ( nodes: 4230646601 )
[45] 1539417504 ns 2.74821 Gnodes/s ( nodes: 4230646601 )
[46] 1524656941 ns 2.77482 Gnodes/s ( nodes: 4230646601 )
[47] 1519326034 ns 2.78455 Gnodes/s ( nodes: 4230646601 )
[48] 1517154054 ns 2.78854 Gnodes/s ( nodes: 4230646601 )
[49] 1522521124 ns 2.77871 Gnodes/s ( nodes: 4230646601 )
[50] 1517687555 ns 2.78756 Gnodes/s ( nodes: 4230646601 )
[51] 1525014652 ns 2.77417 Gnodes/s ( nodes: 4230646601 )
[52] 1519132303 ns 2.78491 Gnodes/s ( nodes: 4230646601 )
[53] 1526535456 ns 2.7714 Gnodes/s ( nodes: 4230646601 )
[54] 1517171546 ns 2.78851 Gnodes/s ( nodes: 4230646601 )
[55] 1523441469 ns 2.77703 Gnodes/s ( nodes: 4230646601 )
[56] 1523376181 ns 2.77715 Gnodes/s ( nodes: 4230646601 )
[57] 1518327843 ns 2.78639 Gnodes/s ( nodes: 4230646601 )
[58] 1551323950 ns 2.72712 Gnodes/s ( nodes: 4230646601 )
[59] 1518694574 ns 2.78571 Gnodes/s ( nodes: 4230646601 )
[60] 1525335775 ns 2.77358 Gnodes/s ( nodes: 4230646601 )
[61] 1517215248 ns 2.78843 Gnodes/s ( nodes: 4230646601 )
[62] 1518343433 ns 2.78636 Gnodes/s ( nodes: 4230646601 )
[63] 1516109095 ns 2.79046 Gnodes/s ( nodes: 4230646601 )
[64] 1517295624 ns 2.78828 Gnodes/s ( nodes: 4230646601 )
[65] 1527819202 ns 2.76908 Gnodes/s ( nodes: 4230646601 )
[66] 1528703672 ns 2.76747 Gnodes/s ( nodes: 4230646601 )
[67] 1542713116 ns 2.74234 Gnodes/s ( nodes: 4230646601 )
[68] 1520169485 ns 2.78301 Gnodes/s ( nodes: 4230646601 )
[69] 1523723429 ns 2.77652 Gnodes/s ( nodes: 4230646601 )
[70] 1520782159 ns 2.78189 Gnodes/s ( nodes: 4230646601 )
[71] 1539703835 ns 2.7477 Gnodes/s ( nodes: 4230646601 )
[72] 1527469207 ns 2.76971 Gnodes/s ( nodes: 4230646601 )
[73] 1528463306 ns 2.76791 Gnodes/s ( nodes: 4230646601 )
[74] 1538241115 ns 2.75031 Gnodes/s ( nodes: 4230646601 )
[75] 1566236999 ns 2.70115 Gnodes/s ( nodes: 4230646601 )
[76] 1515408173 ns 2.79175 Gnodes/s ( nodes: 4230646601 )
[77] 1527796901 ns 2.76912 Gnodes/s ( nodes: 4230646601 )
[78] 1524082792 ns 2.77586 Gnodes/s ( nodes: 4230646601 )
[79] 1517621383 ns 2.78768 Gnodes/s ( nodes: 4230646601 )
[80] 1529487310 ns 2.76606 Gnodes/s ( nodes: 4230646601 )
[81] 1517216407 ns 2.78843 Gnodes/s ( nodes: 4230646601 )
[82] 1526315339 ns 2.7718 Gnodes/s ( nodes: 4230646601 )
[83] 1521676985 ns 2.78025 Gnodes/s ( nodes: 4230646601 )
[84] 1523572692 ns 2.77679 Gnodes/s ( nodes: 4230646601 )
[85] 1542424685 ns 2.74285 Gnodes/s ( nodes: 4230646601 )
[86] 1522499994 ns 2.77875 Gnodes/s ( nodes: 4230646601 )
[87] 1525144817 ns 2.77393 Gnodes/s ( nodes: 4230646601 )
[88] 1514949509 ns 2.7926 Gnodes/s ( nodes: 4230646601 )
[89] 1518602990 ns 2.78588 Gnodes/s ( nodes: 4230646601 )
