Charm++> Running on MPI version: 3.1
Charm++> level of thread support used: MPI_THREAD_SINGLE (desired: MPI_THREAD_SINGLE)
Charm++> Running in non-SMP mode: 144 processes (PEs)
Converse/Charm++ Commit ID: v70000
Charm++> work stealing seed load balancer.
Isomalloc> Synchronized global address space.
CharmLB> Load balancer assumes all CPUs are same.
Charm++> Running on 4 hosts (2 sockets x 18 cores x 1 PUs = 36-way SMP)
Charm++> cpu topology info is gathered in 0.053 seconds.
UTS - Unbalanced Tree Search 2.1 (Charm++)
Tree type:  1 (Geometric)
Tree shape parameters:
  root branching factor b_0 = 4.0, root seed = 29
  GEO parameters: gen_mx = 13, shape function = 3 (Fixed branching factor)
Random number generator: SHA-1 (state size = 20B)
Compute granularity: 1
Execution strategy:  
[0] 179963740 ns 0.567787 Gnodes/s ( nodes: 102181082 )
[1] 167398648 ns 0.610406 Gnodes/s ( nodes: 102181082 )
[2] 167981895 ns 0.608286 Gnodes/s ( nodes: 102181082 )
[3] 171977227 ns 0.594155 Gnodes/s ( nodes: 102181082 )
[4] 164749191 ns 0.620222 Gnodes/s ( nodes: 102181082 )
[5] 172974385 ns 0.59073 Gnodes/s ( nodes: 102181082 )
[6] 165617866 ns 0.616969 Gnodes/s ( nodes: 102181082 )
[7] 172864529 ns 0.591105 Gnodes/s ( nodes: 102181082 )
[8] 171852805 ns 0.594585 Gnodes/s ( nodes: 102181082 )
[9] 168466259 ns 0.606537 Gnodes/s ( nodes: 102181082 )
[10] 169631574 ns 0.602371 Gnodes/s ( nodes: 102181082 )
[11] 168195007 ns 0.607516 Gnodes/s ( nodes: 102181082 )
[12] 166385923 ns 0.614121 Gnodes/s ( nodes: 102181082 )
[13] 176217471 ns 0.579858 Gnodes/s ( nodes: 102181082 )
[14] 164411348 ns 0.621497 Gnodes/s ( nodes: 102181082 )
[15] 165762854 ns 0.616429 Gnodes/s ( nodes: 102181082 )
[16] 164845749 ns 0.619859 Gnodes/s ( nodes: 102181082 )
[17] 175612995 ns 0.581854 Gnodes/s ( nodes: 102181082 )
[18] 177584621 ns 0.575394 Gnodes/s ( nodes: 102181082 )
[19] 173337549 ns 0.589492 Gnodes/s ( nodes: 102181082 )
[20] 166427517 ns 0.613967 Gnodes/s ( nodes: 102181082 )
[21] 174017658 ns 0.587188 Gnodes/s ( nodes: 102181082 )
[22] 169700476 ns 0.602126 Gnodes/s ( nodes: 102181082 )
[23] 170724724 ns 0.598514 Gnodes/s ( nodes: 102181082 )
[24] 176563874 ns 0.57872 Gnodes/s ( nodes: 102181082 )
[25] 165593246 ns 0.617061 Gnodes/s ( nodes: 102181082 )
[26] 172084903 ns 0.593783 Gnodes/s ( nodes: 102181082 )
[27] 171341105 ns 0.596361 Gnodes/s ( nodes: 102181082 )
[28] 170273048 ns 0.600101 Gnodes/s ( nodes: 102181082 )
[29] 171213525 ns 0.596805 Gnodes/s ( nodes: 102181082 )
[30] 168210681 ns 0.607459 Gnodes/s ( nodes: 102181082 )
[31] 169591279 ns 0.602514 Gnodes/s ( nodes: 102181082 )
[32] 173566655 ns 0.588714 Gnodes/s ( nodes: 102181082 )
[33] 168354393 ns 0.60694 Gnodes/s ( nodes: 102181082 )
[34] 165611420 ns 0.616993 Gnodes/s ( nodes: 102181082 )
[35] 165685576 ns 0.616717 Gnodes/s ( nodes: 102181082 )
[36] 165855011 ns 0.616087 Gnodes/s ( nodes: 102181082 )
[37] 173721310 ns 0.58819 Gnodes/s ( nodes: 102181082 )
[38] 166791844 ns 0.612626 Gnodes/s ( nodes: 102181082 )
[39] 168156667 ns 0.607654 Gnodes/s ( nodes: 102181082 )
[40] 164845910 ns 0.619858 Gnodes/s ( nodes: 102181082 )
[41] 178260857 ns 0.573211 Gnodes/s ( nodes: 102181082 )
[42] 166309431 ns 0.614403 Gnodes/s ( nodes: 102181082 )
[43] 166792577 ns 0.612624 Gnodes/s ( nodes: 102181082 )
[44] 177123023 ns 0.576893 Gnodes/s ( nodes: 102181082 )
[45] 167481703 ns 0.610103 Gnodes/s ( nodes: 102181082 )
[46] 173379594 ns 0.589349 Gnodes/s ( nodes: 102181082 )
[47] 169979158 ns 0.601139 Gnodes/s ( nodes: 102181082 )
[48] 172660412 ns 0.591804 Gnodes/s ( nodes: 102181082 )
[49] 166421065 ns 0.613991 Gnodes/s ( nodes: 102181082 )
[50] 164743318 ns 0.620244 Gnodes/s ( nodes: 102181082 )
[51] 167564231 ns 0.609802 Gnodes/s ( nodes: 102181082 )
[52] 168030949 ns 0.608109 Gnodes/s ( nodes: 102181082 )
[53] 181799460 ns 0.562054 Gnodes/s ( nodes: 102181082 )
[54] 172828057 ns 0.59123 Gnodes/s ( nodes: 102181082 )
[55] 175716925 ns 0.58151 Gnodes/s ( nodes: 102181082 )
[56] 172588294 ns 0.592051 Gnodes/s ( nodes: 102181082 )
[57] 180288393 ns 0.566765 Gnodes/s ( nodes: 102181082 )
[58] 163781476 ns 0.623887 Gnodes/s ( nodes: 102181082 )
[59] 170778821 ns 0.598324 Gnodes/s ( nodes: 102181082 )
[60] 166489191 ns 0.61374 Gnodes/s ( nodes: 102181082 )
[61] 174749425 ns 0.584729 Gnodes/s ( nodes: 102181082 )
[62] 165838942 ns 0.616146 Gnodes/s ( nodes: 102181082 )
[63] 167429624 ns 0.610293 Gnodes/s ( nodes: 102181082 )
[64] 171328034 ns 0.596406 Gnodes/s ( nodes: 102181082 )
[65] 169064623 ns 0.604391 Gnodes/s ( nodes: 102181082 )
[66] 176460394 ns 0.57906 Gnodes/s ( nodes: 102181082 )
[67] 177250037 ns 0.57648 Gnodes/s ( nodes: 102181082 )
[68] 164466027 ns 0.62129 Gnodes/s ( nodes: 102181082 )
[69] 167462347 ns 0.610173 Gnodes/s ( nodes: 102181082 )
[70] 167076902 ns 0.611581 Gnodes/s ( nodes: 102181082 )
[71] 172283703 ns 0.593098 Gnodes/s ( nodes: 102181082 )
[72] 171084028 ns 0.597257 Gnodes/s ( nodes: 102181082 )
[73] 163998029 ns 0.623063 Gnodes/s ( nodes: 102181082 )
[74] 169115248 ns 0.60421 Gnodes/s ( nodes: 102181082 )
[75] 166292381 ns 0.614466 Gnodes/s ( nodes: 102181082 )
[76] 168405034 ns 0.606758 Gnodes/s ( nodes: 102181082 )
[77] 164322164 ns 0.621834 Gnodes/s ( nodes: 102181082 )
[78] 180664531 ns 0.565585 Gnodes/s ( nodes: 102181082 )
[79] 168151614 ns 0.607672 Gnodes/s ( nodes: 102181082 )
[80] 173399359 ns 0.589282 Gnodes/s ( nodes: 102181082 )
[81] 166213765 ns 0.614757 Gnodes/s ( nodes: 102181082 )
[82] 170091472 ns 0.600742 Gnodes/s ( nodes: 102181082 )
[83] 173142981 ns 0.590154 Gnodes/s ( nodes: 102181082 )
[84] 169866984 ns 0.601536 Gnodes/s ( nodes: 102181082 )
[85] 167086769 ns 0.611545 Gnodes/s ( nodes: 102181082 )
[86] 176265627 ns 0.579699 Gnodes/s ( nodes: 102181082 )
[87] 165866064 ns 0.616046 Gnodes/s ( nodes: 102181082 )
[88] 169896200 ns 0.601432 Gnodes/s ( nodes: 102181082 )
[89] 169365371 ns 0.603317 Gnodes/s ( nodes: 102181082 )
[90] 170668339 ns 0.598711 Gnodes/s ( nodes: 102181082 )
[91] 167004217 ns 0.611847 Gnodes/s ( nodes: 102181082 )
[92] 171350302 ns 0.596329 Gnodes/s ( nodes: 102181082 )
[93] 169138995 ns 0.604125 Gnodes/s ( nodes: 102181082 )
[94] 167758739 ns 0.609095 Gnodes/s ( nodes: 102181082 )
[95] 165332140 ns 0.618035 Gnodes/s ( nodes: 102181082 )
[96] 164281005 ns 0.62199 Gnodes/s ( nodes: 102181082 )
[97] 166343478 ns 0.614278 Gnodes/s ( nodes: 102181082 )
[98] 170651526 ns 0.59877 Gnodes/s ( nodes: 102181082 )
[99] 171847988 ns 0.594602 Gnodes/s ( nodes: 102181082 )
[100] 181202240 ns 0.563906 Gnodes/s ( nodes: 102181082 )
[101] 167617129 ns 0.60961 Gnodes/s ( nodes: 102181082 )
[102] 166617285 ns 0.613268 Gnodes/s ( nodes: 102181082 )
[103] 167066679 ns 0.611619 Gnodes/s ( nodes: 102181082 )
[104] 167736260 ns 0.609177 Gnodes/s ( nodes: 102181082 )
[105] 166856315 ns 0.61239 Gnodes/s ( nodes: 102181082 )
[106] 176287172 ns 0.579629 Gnodes/s ( nodes: 102181082 )
[107] 168412665 ns 0.60673 Gnodes/s ( nodes: 102181082 )
[108] 181333767 ns 0.563497 Gnodes/s ( nodes: 102181082 )
[109] 169329564 ns 0.603445 Gnodes/s ( nodes: 102181082 )
[110] 165788384 ns 0.616334 Gnodes/s ( nodes: 102181082 )
[111] 166942657 ns 0.612073 Gnodes/s ( nodes: 102181082 )
[112] 174845103 ns 0.584409 Gnodes/s ( nodes: 102181082 )
[113] 167746266 ns 0.609141 Gnodes/s ( nodes: 102181082 )
[114] 162623376 ns 0.62833 Gnodes/s ( nodes: 102181082 )
[115] 167939359 ns 0.60844 Gnodes/s ( nodes: 102181082 )
[116] 178093788 ns 0.573749 Gnodes/s ( nodes: 102181082 )
[117] 165663119 ns 0.6168 Gnodes/s ( nodes: 102181082 )
[118] 167404441 ns 0.610385 Gnodes/s ( nodes: 102181082 )
[119] 173513677 ns 0.588894 Gnodes/s ( nodes: 102181082 )
[120] 170690273 ns 0.598634 Gnodes/s ( nodes: 102181082 )
[121] 170840275 ns 0.598109 Gnodes/s ( nodes: 102181082 )
[122] 169490923 ns 0.602871 Gnodes/s ( nodes: 102181082 )
[123] 173185851 ns 0.590008 Gnodes/s ( nodes: 102181082 )
[124] 174165287 ns 0.58669 Gnodes/s ( nodes: 102181082 )
[125] 173259896 ns 0.589756 Gnodes/s ( nodes: 102181082 )
[126] 171464150 ns 0.595933 Gnodes/s ( nodes: 102181082 )
[127] 174948510 ns 0.584064 Gnodes/s ( nodes: 102181082 )
[128] 164086922 ns 0.622725 Gnodes/s ( nodes: 102181082 )
[129] 175094337 ns 0.583577 Gnodes/s ( nodes: 102181082 )
[130] 169497314 ns 0.602848 Gnodes/s ( nodes: 102181082 )
[131] 172272366 ns 0.593137 Gnodes/s ( nodes: 102181082 )
[132] 168299837 ns 0.607137 Gnodes/s ( nodes: 102181082 )
[133] 170988692 ns 0.59759 Gnodes/s ( nodes: 102181082 )
[134] 170123509 ns 0.600629 Gnodes/s ( nodes: 102181082 )
