places=9216   b=4   r=29   d=13   w=3   n=511   l=32   m=1024   z=3
[0] 15321987203 ns 0.006668918375026 Gnodes/s ( nodes: 102181082 )
[1] 1641328712 ns 0.062255099330767 Gnodes/s ( nodes: 102181082 )
[2] 2120074174 ns 0.048196937283195 Gnodes/s ( nodes: 102181082 )
[3] 1182087863 ns 0.086441190370297 Gnodes/s ( nodes: 102181082 )
[4] 1534822762 ns 0.066575167198361 Gnodes/s ( nodes: 102181082 )
[5] 1372219522 ns 0.074464092925213 Gnodes/s ( nodes: 102181082 )
[6] 1417776727 ns 0.072071349496767 Gnodes/s ( nodes: 102181082 )
[7] 1826691777 ns 0.055937779589621 Gnodes/s ( nodes: 102181082 )
[8] 1899252200 ns 0.053800691661697 Gnodes/s ( nodes: 102181082 )
[9] 1668650948 ns 0.061235743833947 Gnodes/s ( nodes: 102181082 )
[10] 2091458987 ns 0.048856364210407 Gnodes/s ( nodes: 102181082 )
[11] 1275668327 ns 0.080100038416961 Gnodes/s ( nodes: 102181082 )
[12] 1218353951 ns 0.083868141861511 Gnodes/s ( nodes: 102181082 )
[13] 1317737797 ns 0.077542802697645 Gnodes/s ( nodes: 102181082 )
[14] 1238639549 ns 0.082494606346531 Gnodes/s ( nodes: 102181082 )
[15] 1687556825 ns 0.060549713340764 Gnodes/s ( nodes: 102181082 )
[16] 1440886781 ns 0.070915413582381 Gnodes/s ( nodes: 102181082 )
[17] 1549542027 ns 0.065942762583748 Gnodes/s ( nodes: 102181082 )
[18] 1554712509 ns 0.065723457815184 Gnodes/s ( nodes: 102181082 )
[19] 1473465455 ns 0.069347456808887 Gnodes/s ( nodes: 102181082 )
[20] 1809820183 ns 0.056459245487373 Gnodes/s ( nodes: 102181082 )
[21] 1434251093 ns 0.071243509939581 Gnodes/s ( nodes: 102181082 )
[22] 1398220504 ns 0.073079376040962 Gnodes/s ( nodes: 102181082 )
[23] 1251072403 ns 0.081674794963885 Gnodes/s ( nodes: 102181082 )
[24] 1205373497 ns 0.084771303047822 Gnodes/s ( nodes: 102181082 )
[25] 1181679395 ns 0.086471070268599 Gnodes/s ( nodes: 102181082 )
[26] 1150900325 ns 0.088783606868822 Gnodes/s ( nodes: 102181082 )
[27] 1025146178 ns 0.099674645619173 Gnodes/s ( nodes: 102181082 )
[28] 1195474094 ns 0.085473271660875 Gnodes/s ( nodes: 102181082 )
[29] 1309630583 ns 0.078022828213076 Gnodes/s ( nodes: 102181082 )
[30] 1218333066 ns 0.083869579552231 Gnodes/s ( nodes: 102181082 )
[31] 1223347754 ns 0.083525785424379 Gnodes/s ( nodes: 102181082 )
[32] 1399089974 ns 0.073033960573575 Gnodes/s ( nodes: 102181082 )
[33] 1331077772 ns 0.076765673764102 Gnodes/s ( nodes: 102181082 )
[34] 1060877622 ns 0.096317501548732 Gnodes/s ( nodes: 102181082 )
[35] 948593816 ns 0.107718477894863 Gnodes/s ( nodes: 102181082 )
[36] 1349333102 ns 0.075727099445308 Gnodes/s ( nodes: 102181082 )
[37] 1107651940 ns 0.092250172017033 Gnodes/s ( nodes: 102181082 )
[38] 1133137450 ns 0.090175363986072 Gnodes/s ( nodes: 102181082 )
[39] 983335360 ns 0.103912750579823 Gnodes/s ( nodes: 102181082 )
[40] 1219693100 ns 0.083776059731747 Gnodes/s ( nodes: 102181082 )
[41] 1366427136 ns 0.074779751739357 Gnodes/s ( nodes: 102181082 )
[42] 1451544980 ns 0.070394705922237 Gnodes/s ( nodes: 102181082 )
[43] 1359580871 ns 0.075156310433261 Gnodes/s ( nodes: 102181082 )
[44] 1205286279 ns 0.08477743734441 Gnodes/s ( nodes: 102181082 )
[45] 1258773981 ns 0.08117508269342 Gnodes/s ( nodes: 102181082 )
[46] 1267839884 ns 0.080594626568792 Gnodes/s ( nodes: 102181082 )
[47] 1199125511 ns 0.085212999859195 Gnodes/s ( nodes: 102181082 )
