places=9216   b=4   r=19   d=18   w=3   n=511   l=32   m=1024   z=3
[0] 12660969019 ns 21.384751778769044 Gnodes/s ( nodes: 270751679750 )
[1] 3631694242 ns 74.552443490092685 Gnodes/s ( nodes: 270751679750 )
[2] 3177451827 ns 85.210317729861842 Gnodes/s ( nodes: 270751679750 )
[3] 3478292622 ns 77.840397336759779 Gnodes/s ( nodes: 270751679750 )
[4] 3243807149 ns 83.467255392623215 Gnodes/s ( nodes: 270751679750 )
[5] 3270567330 ns 82.784316123527105 Gnodes/s ( nodes: 270751679750 )
[6] 3514126750 ns 77.046646012412609 Gnodes/s ( nodes: 270751679750 )
[7] 3244410306 ns 83.451738286396633 Gnodes/s ( nodes: 270751679750 )
[8] 3225454223 ns 83.942186442867396 Gnodes/s ( nodes: 270751679750 )
[9] 3341173869 ns 81.034896825358842 Gnodes/s ( nodes: 270751679750 )
[10] 3829584537 ns 70.700013835469491 Gnodes/s ( nodes: 270751679750 )
[11] 3560929093 ns 76.033999183594531 Gnodes/s ( nodes: 270751679750 )
[12] 3118834860 ns 86.811803735578351 Gnodes/s ( nodes: 270751679750 )
[13] 3139130064 ns 86.25054528801455 Gnodes/s ( nodes: 270751679750 )
[14] 3514020229 ns 77.048981538461149 Gnodes/s ( nodes: 270751679750 )
[15] 3265222134 ns 82.919834742857347 Gnodes/s ( nodes: 270751679750 )
[16] 3549863461 ns 76.271012314859277 Gnodes/s ( nodes: 270751679750 )
[17] 3551259837 ns 76.241022109698136 Gnodes/s ( nodes: 270751679750 )
[18] 3273104928 ns 82.72013446126833 Gnodes/s ( nodes: 270751679750 )
[19] 3363478625 ns 80.49751758122143 Gnodes/s ( nodes: 270751679750 )
[20] 3242324242 ns 83.505429914371902 Gnodes/s ( nodes: 270751679750 )
[21] 3484585912 ns 77.699814723351267 Gnodes/s ( nodes: 270751679750 )
[22] 3415391494 ns 79.273980808830814 Gnodes/s ( nodes: 270751679750 )
[23] 3338654797 ns 81.096039037425527 Gnodes/s ( nodes: 270751679750 )
[24] 2957114581 ns 91.559414535246248 Gnodes/s ( nodes: 270751679750 )
[25] 3445937495 ns 78.571268382800426 Gnodes/s ( nodes: 270751679750 )
[26] 3324952075 ns 81.430250314209417 Gnodes/s ( nodes: 270751679750 )
[27] 3527136517 ns 76.76246111967545 Gnodes/s ( nodes: 270751679750 )
[28] 3652011443 ns 74.137686580627729 Gnodes/s ( nodes: 270751679750 )
[29] 4272757404 ns 63.366967545719334 Gnodes/s ( nodes: 270751679750 )
[30] 3179532474 ns 85.154557144491676 Gnodes/s ( nodes: 270751679750 )
[31] 3625259780 ns 74.684766383831402 Gnodes/s ( nodes: 270751679750 )
[32] 3003056054 ns 90.158716614485144 Gnodes/s ( nodes: 270751679750 )
[33] 3418453994 ns 79.202961404546542 Gnodes/s ( nodes: 270751679750 )
[34] 2982302814 ns 90.786112824960099 Gnodes/s ( nodes: 270751679750 )
[35] 3258033622 ns 83.102788725610026 Gnodes/s ( nodes: 270751679750 )
[36] 2976929510 ns 90.949980118944765 Gnodes/s ( nodes: 270751679750 )
[37] 3437674009 ns 78.760138116982219 Gnodes/s ( nodes: 270751679750 )
[38] 3088093680 ns 87.675992960809396 Gnodes/s ( nodes: 270751679750 )
[39] 3127120641 ns 86.581782678975316 Gnodes/s ( nodes: 270751679750 )
[40] 3201256277 ns 84.57669624742762 Gnodes/s ( nodes: 270751679750 )
[41] 3135410213 ns 86.352872943837667 Gnodes/s ( nodes: 270751679750 )
[42] 3149896409 ns 85.955740949574832 Gnodes/s ( nodes: 270751679750 )
[43] 3120535470 ns 86.764493579045904 Gnodes/s ( nodes: 270751679750 )
[44] 3263407675 ns 82.965938281063828 Gnodes/s ( nodes: 270751679750 )
[45] 3200124595 ns 84.606605684363984 Gnodes/s ( nodes: 270751679750 )
[46] 3169823009 ns 85.415393534989633 Gnodes/s ( nodes: 270751679750 )
[47] 3160642900 ns 85.663483131865362 Gnodes/s ( nodes: 270751679750 )
