places=144   b=4   r=19   d=15   w=2   n=511   l=32   m=1024   z=2
[0] 1668184451 ns 2.536078428535838 Gnodes/s ( nodes: 4230646601 )
[1] 1472217904 ns 2.873655176659229 Gnodes/s ( nodes: 4230646601 )
[2] 1456636032 ns 2.904395132386784 Gnodes/s ( nodes: 4230646601 )
[3] 1440351155 ns 2.937232761826056 Gnodes/s ( nodes: 4230646601 )
[4] 1449875732 ns 2.917937384305429 Gnodes/s ( nodes: 4230646601 )
[5] 1442824910 ns 2.932196811739271 Gnodes/s ( nodes: 4230646601 )
[6] 1445940807 ns 2.925878141427957 Gnodes/s ( nodes: 4230646601 )
[7] 1455591853 ns 2.906478620556006 Gnodes/s ( nodes: 4230646601 )
[8] 1441039068 ns 2.935830606502335 Gnodes/s ( nodes: 4230646601 )
[9] 1450480176 ns 2.916721421637685 Gnodes/s ( nodes: 4230646601 )
[10] 1457561599 ns 2.902550810821684 Gnodes/s ( nodes: 4230646601 )
[11] 1431191168 ns 2.956031797563468 Gnodes/s ( nodes: 4230646601 )
[12] 1441449038 ns 2.93499561168669 Gnodes/s ( nodes: 4230646601 )
[13] 1456455670 ns 2.904754801771618 Gnodes/s ( nodes: 4230646601 )
[14] 1442600112 ns 2.932653731140151 Gnodes/s ( nodes: 4230646601 )
[15] 1478030919 ns 2.862353247564235 Gnodes/s ( nodes: 4230646601 )
[16] 1461913363 ns 2.893910616097159 Gnodes/s ( nodes: 4230646601 )
[17] 1456304996 ns 2.905055337048366 Gnodes/s ( nodes: 4230646601 )
[18] 1453866273 ns 2.909928292283867 Gnodes/s ( nodes: 4230646601 )
[19] 1460389997 ns 2.896929320038338 Gnodes/s ( nodes: 4230646601 )
[20] 1450243109 ns 2.917198209558947 Gnodes/s ( nodes: 4230646601 )
[21] 1467981436 ns 2.881948298016488 Gnodes/s ( nodes: 4230646601 )
[22] 1477012404 ns 2.86432706288904 Gnodes/s ( nodes: 4230646601 )
[23] 1464135406 ns 2.889518676799214 Gnodes/s ( nodes: 4230646601 )
[24] 1477091061 ns 2.86417453378658 Gnodes/s ( nodes: 4230646601 )
[25] 1449000624 ns 2.919699640515821 Gnodes/s ( nodes: 4230646601 )
[26] 1463335353 ns 2.891098470577305 Gnodes/s ( nodes: 4230646601 )
[27] 1483657815 ns 2.851497534153453 Gnodes/s ( nodes: 4230646601 )
[28] 1464312016 ns 2.889170173278152 Gnodes/s ( nodes: 4230646601 )
[29] 1484149488 ns 2.850552882446569 Gnodes/s ( nodes: 4230646601 )
[30] 1453774622 ns 2.910111744267331 Gnodes/s ( nodes: 4230646601 )
[31] 1477722847 ns 2.862949983881518 Gnodes/s ( nodes: 4230646601 )
[32] 1491469072 ns 2.836563412828181 Gnodes/s ( nodes: 4230646601 )
[33] 1457872695 ns 2.901931434417873 Gnodes/s ( nodes: 4230646601 )
[34] 1469666418 ns 2.878644125758339 Gnodes/s ( nodes: 4230646601 )
[35] 1475166125 ns 2.867911979066087 Gnodes/s ( nodes: 4230646601 )
[36] 1479412445 ns 2.859680284087376 Gnodes/s ( nodes: 4230646601 )
[37] 1459917749 ns 2.897866406445066 Gnodes/s ( nodes: 4230646601 )
[38] 1471393077 ns 2.875266077522804 Gnodes/s ( nodes: 4230646601 )
[39] 1466065523 ns 2.885714543196443 Gnodes/s ( nodes: 4230646601 )
[40] 1459194815 ns 2.89930210655251 Gnodes/s ( nodes: 4230646601 )
[41] 1505923953 ns 2.809336150455667 Gnodes/s ( nodes: 4230646601 )
[42] 1458603382 ns 2.900477712590413 Gnodes/s ( nodes: 4230646601 )
[43] 1454092085 ns 2.909476397431872 Gnodes/s ( nodes: 4230646601 )
[44] 1449353044 ns 2.918989695791469 Gnodes/s ( nodes: 4230646601 )
[45] 1454452264 ns 2.908755897814739 Gnodes/s ( nodes: 4230646601 )
[46] 1455681603 ns 2.906299421714956 Gnodes/s ( nodes: 4230646601 )
[47] 1456978750 ns 2.903711945695845 Gnodes/s ( nodes: 4230646601 )
[48] 1458982682 ns 2.899723658954302 Gnodes/s ( nodes: 4230646601 )
[49] 1467921058 ns 2.882066837275387 Gnodes/s ( nodes: 4230646601 )
[50] 1505485851 ns 2.810153677757812 Gnodes/s ( nodes: 4230646601 )
[51] 1456106060 ns 2.905452231274966 Gnodes/s ( nodes: 4230646601 )
[52] 1453625206 ns 2.910410870379473 Gnodes/s ( nodes: 4230646601 )
[53] 1470100653 ns 2.877793838378766 Gnodes/s ( nodes: 4230646601 )
[54] 1449895171 ns 2.917898263004836 Gnodes/s ( nodes: 4230646601 )
[55] 1488821878 ns 2.841606953467942 Gnodes/s ( nodes: 4230646601 )
[56] 1462117087 ns 2.893507393228351 Gnodes/s ( nodes: 4230646601 )
[57] 1459191486 ns 2.899308721021416 Gnodes/s ( nodes: 4230646601 )
[58] 1448483257 ns 2.920742494298641 Gnodes/s ( nodes: 4230646601 )
[59] 1469582293 ns 2.878808911315591 Gnodes/s ( nodes: 4230646601 )
[60] 1453921409 ns 2.909817941197948 Gnodes/s ( nodes: 4230646601 )
[61] 1479720129 ns 2.859085659569344 Gnodes/s ( nodes: 4230646601 )
[62] 1486066036 ns 2.846876584561145 Gnodes/s ( nodes: 4230646601 )
[63] 1458789465 ns 2.900107728019547 Gnodes/s ( nodes: 4230646601 )
[64] 1455456739 ns 2.90674843685615 Gnodes/s ( nodes: 4230646601 )
[65] 1459810615 ns 2.898079077880935 Gnodes/s ( nodes: 4230646601 )
[66] 1479288507 ns 2.859919874304817 Gnodes/s ( nodes: 4230646601 )
[67] 1483181285 ns 2.852413689267931 Gnodes/s ( nodes: 4230646601 )
[68] 1485594260 ns 2.847780659168675 Gnodes/s ( nodes: 4230646601 )
[69] 1470658639 ns 2.876701967954101 Gnodes/s ( nodes: 4230646601 )
[70] 1475303300 ns 2.867645318084763 Gnodes/s ( nodes: 4230646601 )
[71] 1465595515 ns 2.886639975150306 Gnodes/s ( nodes: 4230646601 )
[72] 1450751515 ns 2.916175897290033 Gnodes/s ( nodes: 4230646601 )
[73] 1461311799 ns 2.895101924103468 Gnodes/s ( nodes: 4230646601 )
[74] 1452489427 ns 2.912686675962977 Gnodes/s ( nodes: 4230646601 )
[75] 1461434351 ns 2.894859148551655 Gnodes/s ( nodes: 4230646601 )
[76] 1463900580 ns 2.889982187861419 Gnodes/s ( nodes: 4230646601 )
[77] 1468058439 ns 2.881797133281559 Gnodes/s ( nodes: 4230646601 )
[78] 1445266809 ns 2.927242620293233 Gnodes/s ( nodes: 4230646601 )
[79] 1457611313 ns 2.902451815012772 Gnodes/s ( nodes: 4230646601 )
[80] 1461852633 ns 2.8940308383328 Gnodes/s ( nodes: 4230646601 )
[81] 1466002161 ns 2.885839266508421 Gnodes/s ( nodes: 4230646601 )
[82] 1465371314 ns 2.88708162946883 Gnodes/s ( nodes: 4230646601 )
[83] 1459733126 ns 2.898232920556466 Gnodes/s ( nodes: 4230646601 )
[84] 1459219430 ns 2.899253199362895 Gnodes/s ( nodes: 4230646601 )
